Country,wc_year,rating,adapted
East Timor,1930,NA,FALSE
Eastern Samoa,1930,NA,FALSE
Ecuador,1930,NA,FALSE
Egypt,1930,NA,FALSE
El Salvador,1930,NA,FALSE
England,1930,2050,FALSE
Equatorial Guinea,1930,NA,FALSE
Eritrea,1930,NA,FALSE
Estonia,1930,NA,FALSE
Eswatini,1930,NA,FALSE
Ethiopia,1930,NA,FALSE
Falkland Islands,1930,NA,FALSE
Faroe Islands,1930,NA,FALSE
Federated States of Micronesia,1930,NA,FALSE
Fiji,1930,NA,FALSE
Finland,1930,NA,FALSE
France,1930,NA,FALSE
French Guiana,1930,NA,FALSE
Gabon,1930,NA,FALSE
Gambia,1930,NA,FALSE
Georgia,1930,NA,FALSE
Germany,1930,NA,FALSE
Ghana,1930,NA,FALSE
Gibraltar,1930,NA,FALSE
Greece,1930,NA,FALSE
Greenland,1930,NA,FALSE
Grenada,1930,NA,FALSE
Guadeloupe,1930,NA,FALSE
Guam,1930,NA,FALSE
Guatemala,1930,NA,FALSE
Guinea,1930,NA,FALSE
Guinea-Bissau,1930,NA,FALSE
Guyana,1930,NA,FALSE
Haiti,1930,NA,FALSE
Honduras,1930,NA,FALSE
Hong Kong,1930,NA,FALSE
Hungary,1930,NA,FALSE
Iceland,1930,NA,FALSE
India,1930,NA,FALSE
Indonesia,1930,NA,FALSE
Iran,1930,NA,FALSE
Iraq,1930,NA,FALSE
Ireland,1930,1325,FALSE
Israel,1930,NA,FALSE
Italy,1930,NA,FALSE
Ivory Coast,1930,NA,FALSE
Jamaica,1930,NA,FALSE
Japan,1930,NA,FALSE
Jordan,1930,NA,FALSE
Kazakhstan,1930,NA,FALSE
Kenya,1930,NA,FALSE
Khmer Republic,1930,NA,FALSE
Kiribati,1930,NA,FALSE
Kosovo,1930,NA,FALSE
Kurdistan,1930,NA,FALSE
Kuwait,1930,NA,FALSE
Kyrgyzstan,1930,NA,FALSE
Laos,1930,NA,FALSE
Latvia,1930,NA,FALSE
Lebanon,1930,NA,FALSE
Lesotho,1930,NA,FALSE
Liberia,1930,NA,FALSE
Libya,1930,NA,FALSE
Liechtenstein,1930,NA,FALSE
Lithuania,1930,NA,FALSE
Luxembourg,1930,NA,FALSE
Macao,1930,NA,FALSE
Macedonia,1930,NA,FALSE
Madagascar,1930,NA,FALSE
Malawi,1930,NA,FALSE
Malaya,1930,NA,FALSE
Malaysia,1930,NA,FALSE
Maldives,1930,NA,FALSE
Mali,1930,NA,FALSE
Malta,1930,NA,FALSE
Marshall Islands,1930,NA,FALSE
Martinique,1930,NA,FALSE
Mauritania,1930,NA,FALSE
Mauritius,1930,NA,FALSE
Mayotte,1930,NA,FALSE
Mexico,1930,NA,FALSE
Moldova,1930,NA,FALSE
Monaco,1930,NA,FALSE
Mongolia,1930,NA,FALSE
Montenegro,1930,NA,FALSE
Montserrat,1930,NA,FALSE
Morocco,1930,NA,FALSE
Mozambique,1930,NA,FALSE
Myanmar,1930,NA,FALSE
Namibia,1930,NA,FALSE
Nepal,1930,NA,FALSE
Netherlands,1930,NA,FALSE
Netherlands Antilles,1930,NA,FALSE
New Caledonia,1930,NA,FALSE
New Zealand,1930,NA,FALSE
Nicaragua,1930,NA,FALSE
Niger,1930,NA,FALSE
Nigeria,1930,NA,FALSE
Niue,1930,NA,FALSE
North Korea,1930,NA,FALSE
North Macedonia,1930,NA,FALSE
North Vietnam,1930,NA,FALSE
North Yemen,1930,NA,FALSE
Northern Cyprus,1930,NA,FALSE
Northern Ireland,1930,NA,FALSE
Northern Mariana Islands,1930,NA,FALSE
Northern Rhodesia,1930,NA,FALSE
Norway,1930,NA,FALSE
Oman,1930,NA,FALSE
Pakistan,1930,NA,FALSE
Palau,1930,NA,FALSE
Palestine,1930,NA,FALSE
Palestine,1930,NA,FALSE
Panama,1930,NA,FALSE
Papua New Guinea,1930,NA,FALSE
Paraguay,1930,NA,FALSE
Peru,1930,NA,FALSE
Philippines,1930,NA,FALSE
Poland,1930,NA,FALSE
Portugal,1930,NA,FALSE
Puerto Rico,1930,NA,FALSE
Qatar,1930,NA,FALSE
Reunion,1930,NA,FALSE
Romania,1930,NA,FALSE
Russia,1930,NA,FALSE
Rwanda,1930,NA,FALSE
Saba,1930,NA,FALSE
Saint Barthelemy,1930,NA,FALSE
Saint Kitts and Nevis,1930,NA,FALSE
Saint Lucia,1930,NA,FALSE
Saint Martin,1930,NA,FALSE
Saint Pierre and Miquelon,1930,NA,FALSE
Saint Vincent and the Grenadines,1930,NA,FALSE
Samoa,1930,NA,FALSE
San Marino,1930,NA,FALSE
Sao Tome and Principe,1930,NA,FALSE
Saudi Arabia,1930,NA,FALSE
Scotland,1930,1991,FALSE
Senegal,1930,NA,FALSE
Serbia,1930,NA,FALSE
Serbia and Montenegro,1930,NA,FALSE
Seychelles,1930,NA,FALSE
Sierra Leone,1930,NA,FALSE
Singapore,1930,NA,FALSE
Sint Eustatius,1930,NA,FALSE
Sint Maarten,1930,NA,FALSE
Slovakia,1930,NA,FALSE
Slovenia,1930,NA,FALSE
Solomon Islands,1930,NA,FALSE
Somalia,1930,NA,FALSE
Somaliland,1930,NA,FALSE
South Africa,1930,NA,FALSE
South Korea,1930,NA,FALSE
South Sudan,1930,NA,FALSE
South Vietnam,1930,NA,FALSE
South Yemen,1930,NA,FALSE
Southern Rhodesia,1930,NA,FALSE
Soviet Union,1930,NA,FALSE
Spain,1930,NA,FALSE
Sri Lanka,1930,NA,FALSE
Sudan,1930,NA,FALSE
Surinam,1930,NA,FALSE
Suriname,1930,NA,FALSE
Swaziland,1930,NA,FALSE
Sweden,1930,NA,FALSE
Switzerland,1930,NA,FALSE
Syria,1930,NA,FALSE
Tahiti,1930,NA,FALSE
Taiwan,1930,NA,FALSE
Tajikistan,1930,NA,FALSE
Tanganyika,1930,NA,FALSE
Tanzania,1930,NA,FALSE
Thailand,1930,NA,FALSE
Tibet,1930,NA,FALSE
Togo,1930,NA,FALSE
Tonga,1930,NA,FALSE
Trinidad and Tobago,1930,NA,FALSE
Tunisia,1930,NA,FALSE
Turkey,1930,NA,FALSE
Turkmenistan,1930,NA,FALSE
Turks and Caicos Islands,1930,NA,FALSE
Tuvalu,1930,NA,FALSE
Uganda,1930,NA,FALSE
Ukraine,1930,NA,FALSE
United Arab Emirates,1930,NA,FALSE
United Arab Republic,1930,NA,FALSE
United States,1930,NA,FALSE
Upper Volta,1930,NA,FALSE
Uruguay,1930,NA,FALSE
US Virgin Islands,1930,NA,FALSE
Uzbekistan,1930,NA,FALSE
Vanuatu,1930,NA,FALSE
Vatican,1930,NA,FALSE
Venezuela,1930,NA,FALSE
Vietnam,1930,NA,FALSE
Wales,1930,1439,FALSE
Wallis and Futuna,1930,NA,FALSE
West Germany,1930,NA,FALSE
Western Sahara,1930,NA,FALSE
Yemen,1930,NA,FALSE
Yugoslavia,1930,NA,FALSE
Zambia,1930,NA,FALSE
Zanzibar,1930,NA,FALSE
Zimbabwe,1930,NA,FALSE
Afghanistan,1934,NA,FALSE
Albania,1934,NA,FALSE
Algeria,1934,NA,FALSE
Andorra,1934,NA,FALSE
Angola,1934,NA,FALSE
Anguilla,1934,NA,FALSE
Antigua and Barbuda,1934,NA,FALSE
Argentina,1934,NA,FALSE
Armenia,1934,NA,FALSE
Aruba,1934,NA,FALSE
Australia,1934,NA,FALSE
Austria,1934,NA,FALSE
Azerbaijan,1934,NA,FALSE
Bahamas,1934,NA,FALSE
Bahrain,1934,NA,FALSE
Bangladesh,1934,NA,FALSE
Barbados,1934,NA,FALSE
Belarus,1934,NA,FALSE
Belgium,1934,NA,FALSE
Belize,1934,NA,FALSE
Benin,1934,NA,FALSE
Bermuda,1934,NA,FALSE
Bhutan,1934,NA,FALSE
Bolivia,1934,NA,FALSE
Bolivia,1934,NA,FALSE
Bonaire,1934,NA,FALSE
Bosnia and Herzegovina,1934,NA,FALSE
Botswana,1934,NA,FALSE
Brazil,1934,NA,FALSE
British Guiana,1934,NA,FALSE
British Virgin Islands,1934,NA,FALSE
Brunei,1934,NA,FALSE
Bulgaria,1934,NA,FALSE
Burkina Faso,1934,NA,FALSE
Burma,1934,NA,FALSE
Burundi,1934,NA,FALSE
Cambodia,1934,NA,FALSE
Cameroon,1934,NA,FALSE
Canada,1934,NA,FALSE
Cape Verde,1934,NA,FALSE
Cayman Islands,1934,NA,FALSE
Central African Republic,1934,NA,FALSE
Ceylon,1934,NA,FALSE
Chad,1934,NA,FALSE
Chagos Islands,1934,NA,FALSE
Chile,1934,NA,FALSE
China,1934,NA,FALSE
Christmas Island,1934,NA,FALSE
Cocos Islands,1934,NA,FALSE
Colombia,1934,NA,FALSE
Comoros,1934,NA,FALSE
Congo,1934,NA,FALSE
Congo-Brazzaville,1934,NA,FALSE
Cook Islands,1934,NA,FALSE
Costa Rica,1934,NA,FALSE
Croatia,1934,NA,FALSE
Cuba,1934,NA,FALSE
Curaçao,1934,NA,FALSE
Cyprus,1934,NA,FALSE
Czechia,1934,NA,FALSE
Czechoslovakia,1934,NA,FALSE
Dahomey,1934,NA,FALSE
Democratic Republic of Congo,1934,NA,FALSE
Denmark,1934,NA,FALSE
Djibouti,1934,NA,FALSE
Dominica,1934,NA,FALSE
Dominican Republic,1934,NA,FALSE
East Germany,1934,NA,FALSE
East Timor,1934,NA,FALSE
Eastern Samoa,1934,NA,FALSE
Ecuador,1934,NA,FALSE
Egypt,1934,NA,FALSE
El Salvador,1934,NA,FALSE
England,1934,2050,FALSE
Equatorial Guinea,1934,NA,FALSE
Eritrea,1934,NA,FALSE
Estonia,1934,NA,FALSE
Eswatini,1934,NA,FALSE
Ethiopia,1934,NA,FALSE
Falkland Islands,1934,NA,FALSE
Faroe Islands,1934,NA,FALSE
Federated States of Micronesia,1934,NA,FALSE
Fiji,1934,NA,FALSE
Finland,1934,NA,FALSE
France,1934,NA,FALSE
French Guiana,1934,NA,FALSE
Gabon,1934,NA,FALSE
Gambia,1934,NA,FALSE
Georgia,1934,NA,FALSE
Germany,1934,NA,FALSE
Ghana,1934,NA,FALSE
Gibraltar,1934,NA,FALSE
Greece,1934,NA,FALSE
Greenland,1934,NA,FALSE
Grenada,1934,NA,FALSE
Guadeloupe,1934,NA,FALSE
Guam,1934,NA,FALSE
Guatemala,1934,NA,FALSE
Guinea,1934,NA,FALSE
Guinea-Bissau,1934,NA,FALSE
Guyana,1934,NA,FALSE
Haiti,1934,NA,FALSE
Honduras,1934,NA,FALSE
Hong Kong,1934,NA,FALSE
Hungary,1934,NA,FALSE
Iceland,1934,NA,FALSE
India,1934,NA,FALSE
Indonesia,1934,NA,FALSE
Iran,1934,NA,FALSE
Iraq,1934,NA,FALSE
Ireland,1934,1325,FALSE
Israel,1934,NA,FALSE
Italy,1934,NA,FALSE
Ivory Coast,1934,NA,FALSE
Jamaica,1934,NA,FALSE
Japan,1934,NA,FALSE
Jordan,1934,NA,FALSE
Kazakhstan,1934,NA,FALSE
Kenya,1934,NA,FALSE
Khmer Republic,1934,NA,FALSE
Kiribati,1934,NA,FALSE
Kosovo,1934,NA,FALSE
Kurdistan,1934,NA,FALSE
Kuwait,1934,NA,FALSE
Kyrgyzstan,1934,NA,FALSE
Laos,1934,NA,FALSE
Latvia,1934,NA,FALSE
Lebanon,1934,NA,FALSE
Lesotho,1934,NA,FALSE
Liberia,1934,NA,FALSE
Libya,1934,NA,FALSE
Liechtenstein,1934,NA,FALSE
Lithuania,1934,NA,FALSE
Luxembourg,1934,NA,FALSE
Macao,1934,NA,FALSE
Macedonia,1934,NA,FALSE
Madagascar,1934,NA,FALSE
Malawi,1934,NA,FALSE
Malaya,1934,NA,FALSE
Malaysia,1934,NA,FALSE
Maldives,1934,NA,FALSE
Mali,1934,NA,FALSE
Malta,1934,NA,FALSE
Marshall Islands,1934,NA,FALSE
Martinique,1934,NA,FALSE
Mauritania,1934,NA,FALSE
Mauritius,1934,NA,FALSE
Mayotte,1934,NA,FALSE
Mexico,1934,NA,FALSE
Moldova,1934,NA,FALSE
Monaco,1934,NA,FALSE
Mongolia,1934,NA,FALSE
Montenegro,1934,NA,FALSE
Montserrat,1934,NA,FALSE
Morocco,1934,NA,FALSE
Mozambique,1934,NA,FALSE
Myanmar,1934,NA,FALSE
Namibia,1934,NA,FALSE
Nepal,1934,NA,FALSE
Netherlands,1934,NA,FALSE
Netherlands Antilles,1934,NA,FALSE
New Caledonia,1934,NA,FALSE
New Zealand,1934,NA,FALSE
Nicaragua,1934,NA,FALSE
Niger,1934,NA,FALSE
Nigeria,1934,NA,FALSE
Niue,1934,NA,FALSE
North Korea,1934,NA,FALSE
North Macedonia,1934,NA,FALSE
North Vietnam,1934,NA,FALSE
North Yemen,1934,NA,FALSE
Northern Cyprus,1934,NA,FALSE
Northern Ireland,1934,NA,FALSE
Northern Mariana Islands,1934,NA,FALSE
Northern Rhodesia,1934,NA,FALSE
Norway,1934,NA,FALSE
Oman,1934,NA,FALSE
Pakistan,1934,NA,FALSE
Palau,1934,NA,FALSE
Palestine,1934,NA,FALSE
Palestine,1934,NA,FALSE
Panama,1934,NA,FALSE
Papua New Guinea,1934,NA,FALSE
Paraguay,1934,NA,FALSE
Peru,1934,NA,FALSE
Philippines,1934,NA,FALSE
Poland,1934,NA,FALSE
Portugal,1934,NA,FALSE
Puerto Rico,1934,NA,FALSE
Qatar,1934,NA,FALSE
Reunion,1934,NA,FALSE
Romania,1934,NA,FALSE
Russia,1934,NA,FALSE
Rwanda,1934,NA,FALSE
Saba,1934,NA,FALSE
Saint Barthelemy,1934,NA,FALSE
Saint Kitts and Nevis,1934,NA,FALSE
Saint Lucia,1934,NA,FALSE
Saint Martin,1934,NA,FALSE
Saint Pierre and Miquelon,1934,NA,FALSE
Saint Vincent and the Grenadines,1934,NA,FALSE
Samoa,1934,NA,FALSE
San Marino,1934,NA,FALSE
Sao Tome and Principe,1934,NA,FALSE
Saudi Arabia,1934,NA,FALSE
Scotland,1934,1991,FALSE
Senegal,1934,NA,FALSE
Serbia,1934,NA,FALSE
Serbia and Montenegro,1934,NA,FALSE
Seychelles,1934,NA,FALSE
Sierra Leone,1934,NA,FALSE
Singapore,1934,NA,FALSE
Sint Eustatius,1934,NA,FALSE
Sint Maarten,1934,NA,FALSE
Slovakia,1934,NA,FALSE
Slovenia,1934,NA,FALSE
Solomon Islands,1934,NA,FALSE
Somalia,1934,NA,FALSE
Somaliland,1934,NA,FALSE
South Africa,1934,NA,FALSE
South Korea,1934,NA,FALSE
South Sudan,1934,NA,FALSE
South Vietnam,1934,NA,FALSE
South Yemen,1934,NA,FALSE
Southern Rhodesia,1934,NA,FALSE
Soviet Union,1934,NA,FALSE
Spain,1934,NA,FALSE
Sri Lanka,1934,NA,FALSE
Sudan,1934,NA,FALSE
Surinam,1934,NA,FALSE
Suriname,1934,NA,FALSE
Swaziland,1934,NA,FALSE
Sweden,1934,NA,FALSE
Switzerland,1934,NA,FALSE
Syria,1934,NA,FALSE
Tahiti,1934,NA,FALSE
Taiwan,1934,NA,FALSE
Tajikistan,1934,NA,FALSE
Tanganyika,1934,NA,FALSE
Tanzania,1934,NA,FALSE
Thailand,1934,NA,FALSE
Tibet,1934,NA,FALSE
Togo,1934,NA,FALSE
Tonga,1934,NA,FALSE
Trinidad and Tobago,1934,NA,FALSE
Tunisia,1934,NA,FALSE
Turkey,1934,NA,FALSE
Turkmenistan,1934,NA,FALSE
Turks and Caicos Islands,1934,NA,FALSE
Tuvalu,1934,NA,FALSE
Uganda,1934,NA,FALSE
Ukraine,1934,NA,FALSE
United Arab Emirates,1934,NA,FALSE
United Arab Republic,1934,NA,FALSE
United States,1934,NA,FALSE
Upper Volta,1934,NA,FALSE
Uruguay,1934,NA,FALSE
US Virgin Islands,1934,NA,FALSE
Uzbekistan,1934,NA,FALSE
Vanuatu,1934,NA,FALSE
Vatican,1934,NA,FALSE
Venezuela,1934,NA,FALSE
Vietnam,1934,NA,FALSE
Wales,1934,1439,FALSE
Wallis and Futuna,1934,NA,FALSE
West Germany,1934,NA,FALSE
Western Sahara,1934,NA,FALSE
Yemen,1934,NA,FALSE
Yugoslavia,1934,NA,FALSE
Zambia,1934,NA,FALSE
Zanzibar,1934,NA,FALSE
Zimbabwe,1934,NA,FALSE
Afghanistan,1938,NA,FALSE
Albania,1938,NA,FALSE
Algeria,1938,NA,FALSE
Andorra,1938,NA,FALSE
Angola,1938,NA,FALSE
Anguilla,1938,NA,FALSE
Antigua and Barbuda,1938,NA,FALSE
Argentina,1938,NA,FALSE
Armenia,1938,NA,FALSE
Aruba,1938,NA,FALSE
Australia,1938,NA,FALSE
Austria,1938,NA,FALSE
Azerbaijan,1938,NA,FALSE
Bahamas,1938,NA,FALSE
Bahrain,1938,NA,FALSE
Bangladesh,1938,NA,FALSE
Barbados,1938,NA,FALSE
Belarus,1938,NA,FALSE
Belgium,1938,NA,FALSE
Belize,1938,NA,FALSE
Benin,1938,NA,FALSE
Bermuda,1938,NA,FALSE
Bhutan,1938,NA,FALSE
Bolivia,1938,NA,FALSE
Bolivia,1938,NA,FALSE
Bonaire,1938,NA,FALSE
Bosnia and Herzegovina,1938,NA,FALSE
Botswana,1938,NA,FALSE
Brazil,1938,NA,FALSE
British Guiana,1938,NA,FALSE
British Virgin Islands,1938,NA,FALSE
Brunei,1938,NA,FALSE
Bulgaria,1938,NA,FALSE
Burkina Faso,1938,NA,FALSE
Burma,1938,NA,FALSE
Burundi,1938,NA,FALSE
Cambodia,1938,NA,FALSE
Cameroon,1938,NA,FALSE
Canada,1938,NA,FALSE
Cape Verde,1938,NA,FALSE
Cayman Islands,1938,NA,FALSE
Central African Republic,1938,NA,FALSE
Ceylon,1938,NA,FALSE
Chad,1938,NA,FALSE
Chagos Islands,1938,NA,FALSE
Chile,1938,NA,FALSE
China,1938,NA,FALSE
Christmas Island,1938,NA,FALSE
Cocos Islands,1938,NA,FALSE
Colombia,1938,NA,FALSE
Comoros,1938,NA,FALSE
Congo,1938,NA,FALSE
Congo-Brazzaville,1938,NA,FALSE
Cook Islands,1938,NA,FALSE
Costa Rica,1938,NA,FALSE
Croatia,1938,NA,FALSE
Cuba,1938,NA,FALSE
Curaçao,1938,NA,FALSE
Cyprus,1938,NA,FALSE
Czechia,1938,NA,FALSE
Czechoslovakia,1938,NA,FALSE
Dahomey,1938,NA,FALSE
Democratic Republic of Congo,1938,NA,FALSE
Denmark,1938,NA,FALSE
Djibouti,1938,NA,FALSE
Dominica,1938,NA,FALSE
Dominican Republic,1938,NA,FALSE
East Germany,1938,NA,FALSE
East Timor,1938,NA,FALSE
Eastern Samoa,1938,NA,FALSE
Ecuador,1938,NA,FALSE
Egypt,1938,NA,FALSE
El Salvador,1938,NA,FALSE
England,1938,2050,FALSE
Equatorial Guinea,1938,NA,FALSE
Eritrea,1938,NA,FALSE
Estonia,1938,NA,FALSE
Eswatini,1938,NA,FALSE
Ethiopia,1938,NA,FALSE
Falkland Islands,1938,NA,FALSE
Faroe Islands,1938,NA,FALSE
Federated States of Micronesia,1938,NA,FALSE
Fiji,1938,NA,FALSE
Finland,1938,NA,FALSE
France,1938,NA,FALSE
French Guiana,1938,NA,FALSE
Gabon,1938,NA,FALSE
Gambia,1938,NA,FALSE
Georgia,1938,NA,FALSE
Germany,1938,NA,FALSE
Ghana,1938,NA,FALSE
Gibraltar,1938,NA,FALSE
Greece,1938,NA,FALSE
Greenland,1938,NA,FALSE
Grenada,1938,NA,FALSE
Guadeloupe,1938,NA,FALSE
Guam,1938,NA,FALSE
Guatemala,1938,NA,FALSE
Guinea,1938,NA,FALSE
Guinea-Bissau,1938,NA,FALSE
Guyana,1938,NA,FALSE
Haiti,1938,NA,FALSE
Honduras,1938,NA,FALSE
Hong Kong,1938,NA,FALSE
Hungary,1938,NA,FALSE
Iceland,1938,NA,FALSE
India,1938,NA,FALSE
Indonesia,1938,NA,FALSE
Iran,1938,NA,FALSE
Iraq,1938,NA,FALSE
Ireland,1938,1325,FALSE
Israel,1938,NA,FALSE
Italy,1938,NA,FALSE
Ivory Coast,1938,NA,FALSE
Jamaica,1938,NA,FALSE
Japan,1938,NA,FALSE
Jordan,1938,NA,FALSE
Kazakhstan,1938,NA,FALSE
Kenya,1938,NA,FALSE
Khmer Republic,1938,NA,FALSE
Kiribati,1938,NA,FALSE
Kosovo,1938,NA,FALSE
Kurdistan,1938,NA,FALSE
Kuwait,1938,NA,FALSE
Kyrgyzstan,1938,NA,FALSE
Laos,1938,NA,FALSE
Latvia,1938,NA,FALSE
Lebanon,1938,NA,FALSE
Lesotho,1938,NA,FALSE
Liberia,1938,NA,FALSE
Libya,1938,NA,FALSE
Liechtenstein,1938,NA,FALSE
Lithuania,1938,NA,FALSE
Luxembourg,1938,NA,FALSE
Macao,1938,NA,FALSE
Macedonia,1938,NA,FALSE
Madagascar,1938,NA,FALSE
Malawi,1938,NA,FALSE
Malaya,1938,NA,FALSE
Malaysia,1938,NA,FALSE
Maldives,1938,NA,FALSE
Mali,1938,NA,FALSE
Malta,1938,NA,FALSE
Marshall Islands,1938,NA,FALSE
Martinique,1938,NA,FALSE
Mauritania,1938,NA,FALSE
Mauritius,1938,NA,FALSE
Mayotte,1938,NA,FALSE
Mexico,1938,NA,FALSE
Moldova,1938,NA,FALSE
Monaco,1938,NA,FALSE
Mongolia,1938,NA,FALSE
Montenegro,1938,NA,FALSE
Montserrat,1938,NA,FALSE
Morocco,1938,NA,FALSE
Mozambique,1938,NA,FALSE
Myanmar,1938,NA,FALSE
Namibia,1938,NA,FALSE
Nepal,1938,NA,FALSE
Netherlands,1938,NA,FALSE
Netherlands Antilles,1938,NA,FALSE
New Caledonia,1938,NA,FALSE
New Zealand,1938,NA,FALSE
Nicaragua,1938,NA,FALSE
Niger,1938,NA,FALSE
Nigeria,1938,NA,FALSE
Niue,1938,NA,FALSE
North Korea,1938,NA,FALSE
North Macedonia,1938,NA,FALSE
North Vietnam,1938,NA,FALSE
North Yemen,1938,NA,FALSE
Northern Cyprus,1938,NA,FALSE
Northern Ireland,1938,NA,FALSE
Northern Mariana Islands,1938,NA,FALSE
Northern Rhodesia,1938,NA,FALSE
Norway,1938,NA,FALSE
Oman,1938,NA,FALSE
Pakistan,1938,NA,FALSE
Palau,1938,NA,FALSE
Palestine,1938,NA,FALSE
Palestine,1938,NA,FALSE
Panama,1938,NA,FALSE
Papua New Guinea,1938,NA,FALSE
Paraguay,1938,NA,FALSE
Peru,1938,NA,FALSE
Philippines,1938,NA,FALSE
Poland,1938,NA,FALSE
Portugal,1938,NA,FALSE
Puerto Rico,1938,NA,FALSE
Qatar,1938,NA,FALSE
Reunion,1938,NA,FALSE
Romania,1938,NA,FALSE
Russia,1938,NA,FALSE
Rwanda,1938,NA,FALSE
Saba,1938,NA,FALSE
Saint Barthelemy,1938,NA,FALSE
Saint Kitts and Nevis,1938,NA,FALSE
Saint Lucia,1938,NA,FALSE
Saint Martin,1938,NA,FALSE
Saint Pierre and Miquelon,1938,NA,FALSE
Saint Vincent and the Grenadines,1938,NA,FALSE
Samoa,1938,NA,FALSE
San Marino,1938,NA,FALSE
Sao Tome and Principe,1938,NA,FALSE
Saudi Arabia,1938,NA,FALSE
Scotland,1938,1991,FALSE
Senegal,1938,NA,FALSE
Serbia,1938,NA,FALSE
Serbia and Montenegro,1938,NA,FALSE
Seychelles,1938,NA,FALSE
Sierra Leone,1938,NA,FALSE
Singapore,1938,NA,FALSE
Sint Eustatius,1938,NA,FALSE
Sint Maarten,1938,NA,FALSE
Slovakia,1938,NA,FALSE
Slovenia,1938,NA,FALSE
Solomon Islands,1938,NA,FALSE
Somalia,1938,NA,FALSE
Somaliland,1938,NA,FALSE
South Africa,1938,NA,FALSE
South Korea,1938,NA,FALSE
South Sudan,1938,NA,FALSE
South Vietnam,1938,NA,FALSE
South Yemen,1938,NA,FALSE
Southern Rhodesia,1938,NA,FALSE
Soviet Union,1938,NA,FALSE
Spain,1938,NA,FALSE
Sri Lanka,1938,NA,FALSE
Sudan,1938,NA,FALSE
Surinam,1938,NA,FALSE
Suriname,1938,NA,FALSE
Swaziland,1938,NA,FALSE
Sweden,1938,NA,FALSE
Switzerland,1938,NA,FALSE
Syria,1938,NA,FALSE
Tahiti,1938,NA,FALSE
Taiwan,1938,NA,FALSE
Tajikistan,1938,NA,FALSE
Tanganyika,1938,NA,FALSE
Tanzania,1938,NA,FALSE
Thailand,1938,NA,FALSE
Tibet,1938,NA,FALSE
Togo,1938,NA,FALSE
Tonga,1938,NA,FALSE
Trinidad and Tobago,1938,NA,FALSE
Tunisia,1938,NA,FALSE
Turkey,1938,NA,FALSE
Turkmenistan,1938,NA,FALSE
Turks and Caicos Islands,1938,NA,FALSE
Tuvalu,1938,NA,FALSE
Uganda,1938,NA,FALSE
Ukraine,1938,NA,FALSE
United Arab Emirates,1938,NA,FALSE
United Arab Republic,1938,NA,FALSE
United States,1938,NA,FALSE
Upper Volta,1938,NA,FALSE
Uruguay,1938,NA,FALSE
US Virgin Islands,1938,NA,FALSE
Uzbekistan,1938,NA,FALSE
Vanuatu,1938,NA,FALSE
Vatican,1938,NA,FALSE
Venezuela,1938,NA,FALSE
Vietnam,1938,NA,FALSE
Wales,1938,1439,FALSE
Wallis and Futuna,1938,NA,FALSE
West Germany,1938,NA,FALSE
Western Sahara,1938,NA,FALSE
Yemen,1938,NA,FALSE
Yugoslavia,1938,NA,FALSE
Zambia,1938,NA,FALSE
Zanzibar,1938,NA,FALSE
